user_id,signup_date,city,device,is_test_user,created_at
U048656,2024-02-30,Mumbai,iOS,,2024-02-18 08:36:00
U018927,2024-02-26,Chennai,Android,true,2024-05-04 04:27:00
U027603,2024-02-22,delhi,,,2024-05-12 06:25:00
U041471,,mumbai,,,2024-01-16 02:30:00
U030926,2024/03/02,Chennai,android,,2024-03-22 06:36:00
U043086,2024-01-02,,android,,2024-02-08 00:28:00
U028868,28-02-2024,mumbai,android,true,2024-02-25 14:10:00
U035229,2024-01-22,delhi,iOS,,2024-05-18 00:11:00
U002292,2024-03-04,Bangalore ,Android,true,2024-02-11 09:53:00
U011395,2024/01/28,delhi,,,2024-03-03 09:46:00
U014470,2024/03/22,delhi,iOS,,2024-03-09 09:02:00
U003990,08-02-2024,,,,2024-01-02 05:30:00
U011640,2024/03/17,Chennai,Android,false,2024-02-24 07:13:00
U005051,2024/02/18,Mumbai,iOS,true,2024-03-12 18:04:00
U013899,2024/03/07,Delhi,android,,2024-01-04 10:34:00
U031785,2024/01/10,delhi,,true,2024-01-29 20:57:00
U018242,14-03-2024,Chennai,android,false,2024-03-07 10:40:00
U018510,2024/03/09,mumbai,Android,,2024-02-18 14:52:00
U010476,2024-02-30,mumbai,android,,2024-05-16 11:31:00
U013349,18-01-2024,Bangalore ,iOS,,2024-01-17 12:08:00
U046833,2024-02-15,Chennai,Android,true,2024-02-20 05:41:00
U032402,2024/03/25,delhi,android,false,2024-01-25 08:45:00
U030457,06-03-2024,Bangalore ,android,false,2024-04-15 18:52:00
U008557,2024-02-23,Mumbai,Android,false,2024-03-23 17:29:00
U036457,,Mumbai,Android,false,2024-02-17 13:27:00
U008171,2024/01/05,mumbai,iOS,true,2024-03-19 08:31:00
U018973,2024-01-30,mumbai,,,2024-05-07 00:02:00
U049477,03-03-2024,Chennai,iOS,false,2024-01-12 21:46:00
U032000,,DELHI,android,false,2024-03-23 12:10:00
U027848,2024-01-09,Mumbai,android,true,2024-02-29 01:28:00
U034231,2024/03/10,mumbai,android,,2024-03-19 11:45:00
U042143,2024-02-11,DELHI,iOS,true,2024-01-31 23:41:00
U038800,,mumbai,Android,,2024-03-09 01:15:00
U011453,,,iOS,,2024-04-05 12:07:00
U001606,,Bangalore ,android,,2024-03-30 15:52:00
U015773,2024/02/16,Mumbai,,false,2024-03-27 05:50:00
U013388,,delhi,android,false,2024-05-17 04:26:00
U010550,2024-03-09,delhi,Android,false,2024-05-08 16:18:00
U047146,2024-02-24,DELHI,Android,,2024-01-02 02:15:00
U043819,2024-03-20,,iOS,true,2024-04-28 14:13:00
U015734,,mumbai,Android,,2024-01-31 14:09:00
U032772,,delhi,Android,false,2024-02-29 10:31:00
U019782,2024-01-25,Mumbai,,true,2024-03-08 13:12:00
U045728,2024/03/01,Chennai,iOS,,2024-01-27 06:09:00
U022943,2024/02/07,Delhi,android,,2024-05-10 05:39:00
U013245,,Bangalore ,Android,false,2024-04-13 14:00:00
U012332,2024/01/03,Mumbai,iOS,false,2024-01-10 10:39:00
U028069,13-02-2024,Bangalore ,Android,false,2024-03-10 02:15:00
U013138,2024/02/09,Delhi,Android,false,2024-01-22 03:46:00
U029230,23-02-2024,delhi,,false,2024-05-10 05:23:00
U044892,2024/01/22,Delhi,android,,2024-01-31 11:53:00
U019971,2024-02-09,DELHI,android,true,2024-05-05 20:47:00
U010967,11-02-2024,Chennai,android,,2024-04-06 01:01:00
U049877,2024-03-01,mumbai,Android,,2024-04-19 18:48:00
U025477,,DELHI,Android,true,2024-03-31 12:33:00
U004546,2024-01-21,mumbai,Android,true,2024-03-28 00:01:00
U002356,2024/03/10,delhi,iOS,,2024-04-26 19:01:00
U005483,17-01-2024,Bangalore ,,false,2024-02-26 18:21:00
U031373,2024-02-30,mumbai,Android,true,2024-04-19 14:09:00
U039604,11-02-2024,DELHI,android,,2024-05-08 12:17:00
U021108,2024/01/14,mumbai,iOS,false,2024-03-10 13:58:00
U003177,2024-02-30,Chennai,iOS,false,2024-03-27 23:10:00
U019081,2024/03/28,,Android,true,2024-04-22 16:08:00
U049807,13-03-2024,DELHI,android,,2024-04-27 04:49:00
U026456,2024/01/31,Bangalore ,iOS,false,2024-03-22 05:53:00
U048554,29-03-2024,Chennai,Android,false,2024-02-14 18:23:00
U043039,06-03-2024,DELHI,,,2024-02-15 23:43:00
U000575,2024/01/30,Chennai,,true,2024-01-07 03:55:00
U036037,15-03-2024,Mumbai,,false,2024-01-11 21:05:00
U034086,2024/02/15,,Android,false,2024-02-13 20:58:00
U026849,14-03-2024,Bangalore ,android,false,2024-01-16 22:34:00
U013342,,DELHI,iOS,false,2024-03-09 03:12:00
U032049,24-02-2024,Delhi,Android,,2024-04-05 16:22:00
U005578,,Mumbai,Android,false,2024-05-03 15:37:00
U021739,2024-03-30,mumbai,Android,true,2024-05-09 14:28:00
U022687,2024-02-30,DELHI,,true,2024-03-18 05:12:00
U047691,2024-01-20,DELHI,iOS,,2024-02-02 02:11:00
U043793,2024-02-30,,Android,true,2024-01-20 14:38:00
U013170,,Delhi,android,true,2024-03-20 15:25:00
U025030,2024-02-21,,,false,2024-04-26 18:34:00
U008933,,Bangalore ,,false,2024-01-20 16:47:00
U045632,2024-02-02,Bangalore ,android,,2024-01-29 05:15:00
U043526,20-02-2024,mumbai,,true,2024-02-08 21:33:00
U014923,,,Android,true,2024-02-08 21:40:00
U031948,2024-02-30,Bangalore ,android,,2024-02-20 17:33:00
U030449,18-03-2024,Mumbai,Android,,2024-01-30 15:35:00
U007642,2024-02-15,Delhi,Android,,2024-05-09 01:05:00
U038126,2024-01-20,Bangalore ,,true,2024-03-10 18:49:00
U026969,2024/02/16,Chennai,iOS,true,2024-02-01 04:05:00
U038932,26-01-2024,delhi,android,false,2024-02-18 14:32:00
U026518,,Chennai,android,,2024-04-04 12:58:00
U000029,2024-02-20,Chennai,iOS,,2024-05-03 03:09:00
U016208,18-02-2024,Mumbai,,true,2024-03-20 19:38:00
U000974,18-03-2024,delhi,iOS,true,2024-05-11 09:20:00
U046455,2024-01-28,,Android,false,2024-04-12 04:15:00
U043937,2024-02-30,Mumbai,iOS,,2024-01-01 02:37:00
U041584,2024-03-01,,Android,,2024-02-05 21:28:00
U015376,2024/01/15,,android,true,2024-04-02 02:24:00
U002897,09-02-2024,DELHI,iOS,false,2024-04-14 16:19:00
U043901,,delhi,android,true,2024-02-27 06:53:00
U047348,,DELHI,iOS,,2024-01-11 11:01:00
U004283,2024-02-30,Delhi,android,false,2024-01-02 15:50:00
U024300,11-03-2024,Chennai,Android,false,2024-01-03 16:34:00
U003461,13-01-2024,,,true,2024-05-09 10:56:00
U038031,2024/01/29,mumbai,,false,2024-02-29 10:21:00
U038292,,Chennai,iOS,false,2024-04-03 18:26:00
U006420,,mumbai,iOS,true,2024-01-07 17:54:00
U023765,2024-02-06,mumbai,android,true,2024-03-12 16:59:00
U027491,2024/03/22,Mumbai,android,true,2024-03-23 15:15:00
U013253,,Mumbai,iOS,false,2024-04-01 08:25:00
U043622,,Bangalore ,iOS,,2024-01-25 15:17:00
U021157,29-03-2024,delhi,iOS,true,2024-03-16 19:02:00
U010590,,delhi,android,true,2024-04-30 13:12:00
U026965,27-03-2024,Bangalore ,Android,true,2024-03-16 02:42:00
U036497,,Delhi,,,2024-04-09 02:49:00
U010058,2024/01/05,Chennai,Android,true,2024-04-25 06:43:00
U015586,,Mumbai,Android,false,2024-02-11 12:58:00
U049758,2024/01/28,,,false,2024-03-31 22:27:00
U032494,2024-02-15,delhi,android,false,2024-03-17 02:30:00
U021906,2024-01-09,Mumbai,Android,false,2024-04-26 02:20:00
U025879,2024/02/03,Chennai,android,,2024-05-17 14:44:00
U006051,2024/01/17,,android,true,2024-01-30 18:47:00
U011235,2024-03-14,Delhi,iOS,,2024-01-19 11:03:00
U016905,,Delhi,,true,2024-05-10 08:00:00
U029416,,DELHI,iOS,,2024-03-04 12:59:00
U011506,2024/01/08,Mumbai,iOS,,2024-02-27 21:34:00
U011011,2024-02-02,Chennai,Android,true,2024-01-13 19:03:00
U003550,2024-02-03,mumbai,Android,,2024-05-12 01:10:00
U031556,01-01-2024,DELHI,android,true,2024-04-04 18:40:00
U011448,,mumbai,Android,,2024-01-19 02:33:00
U045272,2024-01-01,delhi,,,2024-01-15 18:40:00
U042982,,DELHI,Android,,2024-04-11 16:47:00
U003543,03-01-2024,mumbai,android,false,2024-01-03 10:35:00
U011901,2024-01-09,,android,,2024-01-20 01:51:00
U033449,2024-02-30,DELHI,Android,true,2024-03-12 14:13:00
U010712,,Delhi,Android,true,2024-05-10 03:49:00
U006616,2024-02-15,,Android,true,2024-01-10 20:17:00
U046776,,Mumbai,,,2024-05-15 00:02:00
U028553,2024/02/10,Mumbai,,false,2024-05-12 00:23:00
U023634,,DELHI,Android,,2024-05-04 08:15:00
U039231,31-03-2024,,Android,false,2024-01-24 07:29:00
U040375,2024-01-24,mumbai,Android,,2024-02-06 14:52:00
U009521,2024/03/23,Bangalore ,,,2024-04-20 09:37:00
U004847,,Chennai,Android,true,2024-03-01 10:11:00
U021553,2024-02-30,Delhi,,true,2024-03-25 20:45:00
U021179,18-02-2024,mumbai,android,false,2024-01-26 05:54:00
U023352,,Delhi,android,,2024-01-08 21:50:00
U036454,,Delhi,,true,2024-05-10 02:56:00
U033669,2024/01/02,Bangalore ,iOS,false,2024-03-02 23:38:00
U049209,,Delhi,Android,true,2024-01-20 18:49:00
U004921,2024/01/19,Bangalore ,,,2024-04-20 08:39:00
U020132,08-03-2024,Bangalore ,iOS,,2024-03-04 16:52:00
U016966,2024/03/12,mumbai,iOS,true,2024-01-13 08:46:00
U043084,2024/01/11,Mumbai,iOS,,2024-04-29 02:38:00
U012433,2024/03/22,,,true,2024-04-28 16:17:00
U009511,2024-02-29,Delhi,android,true,2024-01-31 10:54:00
U022431,2024-02-09,mumbai,android,,2024-03-18 17:25:00
U021095,,delhi,android,,2024-02-13 22:37:00
U013928,17-01-2024,Delhi,,false,2024-01-18 17:05:00
U012491,22-01-2024,Mumbai,iOS,false,2024-04-08 01:29:00
U046164,2024/03/10,mumbai,Android,false,2024-04-27 15:57:00
U022157,28-01-2024,Mumbai,iOS,,2024-02-12 16:37:00
U043068,30-03-2024,delhi,android,false,2024-04-22 06:08:00
U027517,,delhi,iOS,true,2024-01-27 09:02:00
U002530,27-01-2024,Mumbai,iOS,,2024-03-02 18:02:00
U049965,28-02-2024,Delhi,,false,2024-01-03 16:25:00
U041802,2024-01-30,Bangalore ,,,2024-02-21 08:20:00
U048450,,Delhi,iOS,false,2024-03-01 03:39:00
U046319,2024/02/02,Chennai,,false,2024-01-05 08:05:00
U042435,2024-01-04,,Android,false,2024-02-16 06:54:00
U008316,2024/03/18,Mumbai,Android,false,2024-01-08 02:48:00
U024283,11-01-2024,Bangalore ,iOS,true,2024-05-18 09:10:00
U010688,,Bangalore ,android,true,2024-03-13 11:49:00
U020053,2024-01-14,,,true,2024-03-20 04:33:00
U002932,2024/03/29,Delhi,Android,,2024-01-22 07:27:00
U018949,2024-02-04,delhi,android,,2024-02-04 18:46:00
U049266,2024-02-16,delhi,iOS,true,2024-05-06 03:09:00
U013261,15-03-2024,mumbai,android,false,2024-04-21 09:09:00
U039204,2024-02-30,delhi,android,,2024-05-16 14:18:00
U022751,2024-03-15,Delhi,android,true,2024-03-11 11:31:00
U021151,,Delhi,iOS,false,2024-04-12 04:46:00
U047866,,Bangalore ,Android,false,2024-04-14 07:01:00
U049772,2024/02/17,delhi,Android,,2024-02-26 08:29:00
U027789,20-01-2024,Mumbai,,true,2024-01-16 13:04:00
U035921,2024/02/29,,,true,2024-03-22 06:33:00
U007740,,Bangalore ,,true,2024-04-18 03:35:00
U014836,07-02-2024,delhi,android,true,2024-04-10 10:08:00
U048436,,Bangalore ,Android,true,2024-01-14 17:53:00
U028960,2024-02-30,,Android,false,2024-01-13 07:25:00
U027110,2024/03/18,Chennai,iOS,,2024-05-11 05:54:00
U037399,,delhi,android,true,2024-03-06 19:02:00
U002859,09-02-2024,,android,false,2024-04-16 11:38:00
U029209,24-01-2024,Chennai,,false,2024-03-02 21:58:00
U025143,2024-01-12,,Android,false,2024-03-06 15:30:00
U042636,2024/03/19,mumbai,Android,,2024-02-21 18:44:00
U007872,2024-01-23,mumbai,iOS,,2024-03-12 14:22:00
U048039,,mumbai,iOS,,2024-02-26 10:59:00
U004006,10-01-2024,Mumbai,,false,2024-03-04 11:06:00
U009292,03-01-2024,delhi,iOS,false,2024-03-06 14:55:00
U029752,,delhi,iOS,true,2024-03-05 15:06:00
U033761,2024-02-27,Mumbai,Android,,2024-05-15 05:44:00
U011761,2024/01/23,delhi,iOS,true,2024-04-25 09:43:00
U005995,,mumbai,android,true,2024-01-30 19:39:00
U044515,28-01-2024,,android,false,2024-03-04 23:12:00
U012311,2024/01/09,,,false,2024-04-06 17:39:00
U029726,22-03-2024,Mumbai,android,false,2024-01-01 06:15:00
U030970,2024/02/29,Bangalore ,android,true,2024-02-16 14:09:00
U020962,,Chennai,Android,,2024-05-15 19:37:00
U029184,,Bangalore ,Android,true,2024-02-10 03:29:00
U026140,2024/02/10,delhi,iOS,true,2024-01-29 08:28:00
U046736,,Mumbai,,true,2024-03-28 09:25:00
U010213,,,android,,2024-02-18 08:06:00
U035810,2024-03-20,Delhi,Android,true,2024-01-03 00:41:00
U011935,,delhi,android,false,2024-03-19 17:37:00
U019790,29-01-2024,Mumbai,android,true,2024-04-04 00:09:00
U033585,2024/03/03,Bangalore ,,false,2024-04-08 20:53:00
U015000,2024/03/08,Delhi,Android,false,2024-03-24 15:52:00
U015809,2024/03/26,Mumbai,iOS,true,2024-04-26 12:34:00
U037594,22-03-2024,Delhi,Android,false,2024-04-08 15:48:00
U003628,,Chennai,android,false,2024-04-08 01:07:00
U022915,,Bangalore ,Android,,2024-01-26 21:14:00
U049923,2024-02-30,Chennai,Android,,2024-03-04 08:24:00
U049805,2024/02/20,Delhi,android,false,2024-02-20 00:20:00
U003664,2024-02-15,mumbai,iOS,,2024-03-16 02:15:00
U010658,2024/01/06,delhi,android,false,2024-04-23 03:57:00
U013261,2024-03-17,Mumbai,iOS,true,2024-01-31 20:29:00
U046663,,Chennai,iOS,false,2024-03-29 02:35:00
U044044,2024-01-14,,android,,2024-04-08 08:42:00
U043964,,Mumbai,iOS,,2024-01-02 05:09:00
U018477,2024-01-17,Bangalore ,android,false,2024-02-29 07:58:00
U007888,,Chennai,iOS,,2024-04-06 02:07:00
U041688,2024-03-05,mumbai,Android,false,2024-05-07 22:09:00
U035177,15-02-2024,Bangalore ,iOS,true,2024-02-28 18:42:00
U030584,23-03-2024,Bangalore ,android,true,2024-04-30 22:05:00
U049362,2024/01/08,delhi,,false,2024-03-24 01:21:00
U032699,2024-03-22,Mumbai,Android,false,2024-05-16 22:17:00
U000392,,Chennai,Android,true,2024-04-18 01:54:00
U040856,2024/02/23,Delhi,,false,2024-03-26 12:39:00
U014969,04-02-2024,delhi,android,,2024-04-25 11:49:00
U033170,21-02-2024,DELHI,iOS,true,2024-05-13 23:43:00
U046947,2024/01/09,delhi,android,,2024-04-09 23:32:00
U006715,2024-03-31,,android,,2024-01-22 08:19:00
U005772,29-03-2024,delhi,,,2024-03-14 15:25:00
U005352,2024-01-23,delhi,Android,false,2024-04-19 22:18:00
U027662,,,android,false,2024-02-24 01:54:00
U013618,,Bangalore ,Android,false,2024-05-14 13:16:00
U030242,16-02-2024,Mumbai,iOS,,2024-02-15 13:46:00
U035881,16-01-2024,,,true,2024-03-10 18:34:00
U010180,05-01-2024,,android,false,2024-05-15 09:45:00
U031712,2024-02-08,DELHI,,true,2024-02-02 18:05:00
U013200,2024/02/11,DELHI,Android,true,2024-03-15 20:22:00
U024427,2024-01-27,Delhi,android,,2024-02-06 10:08:00
U045267,2024-02-26,Delhi,android,,2024-02-06 16:12:00
U042306,2024/01/08,Bangalore ,,,2024-03-17 21:03:00
U004615,2024-02-20,Mumbai,,false,2024-01-24 15:05:00
U021179,,delhi,android,,2024-01-24 00:11:00
U013835,2024-02-28,Chennai,Android,false,2024-03-23 03:54:00
U000178,13-03-2024,Bangalore ,android,false,2024-05-02 13:41:00
U038556,2024-02-30,Bangalore ,android,true,2024-01-09 10:09:00
U031856,2024/02/10,Delhi,android,,2024-03-25 08:08:00
U013098,2024-02-16,delhi,Android,,2024-05-03 00:06:00
U037062,2024-03-11,Delhi,android,true,2024-01-19 16:44:00
U027585,,,,,2024-05-08 01:47:00
U021385,,DELHI,iOS,true,2024-04-19 18:26:00
U000484,2024-01-25,mumbai,iOS,false,2024-05-15 11:47:00
U003763,2024-01-31,delhi,,false,2024-01-04 02:22:00
U044156,2024-02-13,Delhi,android,,2024-03-24 23:00:00
U045197,,,iOS,,2024-01-09 03:57:00
U027280,,Chennai,android,,2024-01-01 09:58:00
U041730,,delhi,,false,2024-02-22 19:41:00
U029126,2024/03/29,DELHI,Android,false,2024-03-20 16:26:00
U007405,2024-01-25,mumbai,iOS,,2024-04-07 12:25:00
U006373,2024/01/25,Mumbai,Android,true,2024-03-14 10:17:00
U015413,2024/01/30,Delhi,,false,2024-01-18 01:37:00
U044950,,Bangalore ,iOS,false,2024-03-07 12:07:00
U039807,,,android,,2024-02-26 18:31:00
U043036,2024/03/09,DELHI,android,false,2024-04-10 22:43:00
U044947,2024/03/26,mumbai,Android,,2024-04-21 04:23:00
U010504,2024-02-12,mumbai,Android,false,2024-03-17 21:52:00
U012477,,delhi,Android,,2024-03-15 00:00:00
U005140,2024-03-02,Chennai,,,2024-03-05 09:23:00
U039006,2024-01-17,,iOS,true,2024-04-13 08:41:00
U044207,,Bangalore ,Android,true,2024-03-29 20:22:00
U020319,,,Android,false,2024-02-16 22:59:00
U031034,2024/03/16,Mumbai,,true,2024-04-04 14:09:00
U007728,2024/02/02,Mumbai,iOS,true,2024-02-22 20:51:00
U046495,2024-01-16,mumbai,iOS,false,2024-03-20 21:59:00
U043231,2024/02/21,Delhi,iOS,,2024-04-23 19:52:00
U048811,2024-03-23,Mumbai,Android,true,2024-01-27 18:35:00
U040539,,Bangalore ,Android,,2024-04-18 19:42:00
U044071,2024/01/27,Delhi,,true,2024-04-16 08:16:00
U001240,,,android,,2024-01-25 18:58:00
U036829,2024-02-30,Bangalore ,android,true,2024-02-20 03:13:00
U016610,26-03-2024,,,,2024-05-17 09:16:00
U046541,2024/02/12,Mumbai,,,2024-03-01 15:10:00
U040112,04-02-2024,,iOS,,2024-01-06 05:18:00
U043204,2024/02/28,,iOS,true,2024-01-09 08:34:00
U040538,,Bangalore ,,,2024-03-08 11:10:00
U013341,,Mumbai,android,,2024-01-08 11:29:00
U039369,07-03-2024,Bangalore ,android,false,2024-04-10 13:49:00
U005405,2024/01/22,delhi,Android,,2024-03-11 01:04:00
U043609,29-01-2024,DELHI,Android,,2024-02-15 11:15:00
U042930,,Mumbai,,true,2024-01-11 19:18:00
U011122,2024-02-03,Mumbai,,true,2024-05-01 11:50:00
U040830,2024/01/25,mumbai,android,,2024-03-04 23:55:00
U023016,03-03-2024,Chennai,android,,2024-01-16 05:37:00
U015260,2024/03/02,Bangalore ,android,true,2024-01-12 23:05:00
U039768,,DELHI,android,false,2024-02-05 01:02:00
U011380,12-02-2024,,android,,2024-03-03 04:10:00
U001184,11-01-2024,,iOS,,2024-02-27 14:38:00
U009657,2024-02-30,mumbai,Android,,2024-02-24 02:03:00
U016414,2024-02-30,Chennai,Android,,2024-02-02 14:28:00
U043218,2024/01/20,Bangalore ,Android,true,2024-04-29 14:52:00
U048345,2024-01-18,Delhi,iOS,,2024-04-08 10:48:00
U013957,,mumbai,iOS,true,2024-03-15 17:38:00
U032075,2024/03/22,Mumbai,,,2024-04-10 13:27:00
U019984,17-02-2024,,,false,2024-04-06 20:09:00
U049058,2024-02-15,mumbai,Android,true,2024-04-30 12:43:00
U026811,,Bangalore ,iOS,false,2024-01-29 22:34:00
U046962,,Delhi,android,true,2024-01-15 06:22:00
U005768,2024/02/18,Chennai,Android,true,2024-03-24 16:20:00
U048521,,Bangalore ,iOS,true,2024-05-12 15:22:00
U008929,2024/02/13,delhi,Android,true,2024-04-14 20:19:00
U048127,,Mumbai,iOS,,2024-05-09 18:43:00
U013274,2024/03/10,Chennai,Android,true,2024-03-28 06:46:00
U005421,29-03-2024,mumbai,android,,2024-02-06 03:48:00
U021729,2024/03/31,mumbai,iOS,true,2024-03-07 01:13:00
U036428,2024/02/07,delhi,iOS,true,2024-02-08 15:30:00
U015684,,Delhi,Android,false,2024-03-11 10:16:00
U030311,,DELHI,iOS,false,2024-04-10 01:07:00
U025572,10-02-2024,,,,2024-05-15 08:55:00
U019260,,Mumbai,Android,,2024-05-08 08:31:00
U028830,,Chennai,,true,2024-03-05 06:23:00
U012737,2024/02/21,Chennai,,,2024-04-30 23:05:00
U035440,2024-01-24,Mumbai,,false,2024-03-16 21:27:00
U000085,2024/03/18,Mumbai,Android,,2024-01-19 09:10:00
U046279,,delhi,Android,true,2024-02-12 12:00:00
U026923,,Delhi,,,2024-04-03 06:07:00
U035972,2024-02-30,Delhi,Android,,2024-03-13 06:14:00
U037098,2024/02/15,DELHI,android,true,2024-03-04 02:24:00
U033532,2024-03-26,DELHI,Android,,2024-04-27 17:52:00
U018212,2024/03/27,Mumbai,android,false,2024-01-12 07:33:00
U003499,,Chennai,Android,false,2024-02-29 18:23:00
U033212,,DELHI,android,,2024-02-28 20:36:00
U016511,20-02-2024,Mumbai,android,,2024-03-01 07:16:00
U015696,2024/02/24,Bangalore ,iOS,true,2024-04-09 02:06:00
U042401,,delhi,,false,2024-05-08 22:07:00
U035988,2024/02/15,Delhi,android,true,2024-03-11 08:13:00
U015017,13-01-2024,delhi,iOS,true,2024-01-17 17:51:00
U015465,,Chennai,android,false,2024-03-30 16:28:00
U020420,22-01-2024,,,,2024-02-06 03:40:00
U020121,2024/01/29,mumbai,,,2024-02-21 13:18:00
U014783,2024-02-24,Mumbai,,true,2024-04-29 03:23:00
U006365,12-02-2024,mumbai,Android,true,2024-01-07 03:46:00
U021023,20-01-2024,Chennai,,,2024-03-12 21:56:00
U047019,2024/01/07,Mumbai,android,false,2024-02-13 04:18:00
U033866,2024/03/03,Chennai,,true,2024-01-11 15:14:00
U045141,,delhi,Android,true,2024-03-09 08:03:00
U030776,,Delhi,Android,false,2024-01-29 01:51:00
U015048,11-01-2024,Mumbai,,true,2024-04-24 04:50:00
U027397,2024/01/30,mumbai,,false,2024-04-12 14:54:00
U000021,,Bangalore ,Android,true,2024-03-03 12:15:00
U014346,,Bangalore ,android,true,2024-04-13 16:32:00
U021495,15-03-2024,Delhi,iOS,true,2024-04-02 08:58:00
U029000,2024/03/06,delhi,iOS,false,2024-01-04 01:37:00
U032736,2024-03-27,Bangalore ,Android,false,2024-04-27 20:53:00
U023250,06-02-2024,Chennai,android,true,2024-01-25 21:24:00
U022108,2024/03/01,DELHI,Android,true,2024-04-27 22:03:00
U010686,22-03-2024,Bangalore ,,false,2024-01-17 04:17:00
U023660,2024-02-30,mumbai,Android,,2024-03-04 11:16:00
U045060,2024-01-29,Mumbai,Android,false,2024-03-28 01:48:00
U039802,,DELHI,,false,2024-01-25 17:27:00
U008485,2024/02/27,delhi,iOS,,2024-04-21 21:01:00
U004240,,Chennai,android,,2024-04-22 02:12:00
U025773,08-03-2024,Delhi,Android,false,2024-03-30 23:01:00
U031648,2024-02-30,delhi,android,false,2024-01-21 04:24:00
U016760,2024-01-09,mumbai,iOS,,2024-04-15 06:27:00
U040922,2024/02/21,Bangalore ,iOS,false,2024-02-17 05:08:00
U037557,15-01-2024,,iOS,,2024-01-30 20:29:00
U033640,,DELHI,iOS,,2024-01-26 09:18:00
U011233,,mumbai,iOS,false,2024-01-23 21:45:00
U009957,2024-03-28,Mumbai,,,2024-04-18 11:04:00
U001222,,delhi,Android,,2024-02-20 04:53:00
U012243,2024-02-04,,android,true,2024-03-19 21:52:00
U023757,2024-02-14,delhi,android,true,2024-04-05 02:06:00
U042487,2024/03/14,delhi,Android,false,2024-04-14 21:28:00
U003642,2024/03/30,Bangalore ,Android,false,2024-01-07 18:43:00
U020723,2024-03-25,mumbai,,true,2024-02-11 04:45:00
U031489,,Chennai,,,2024-01-29 15:41:00
U009722,11-01-2024,DELHI,android,,2024-02-11 18:37:00
U034818,2024/02/26,,android,false,2024-02-22 15:10:00
U024719,15-02-2024,Mumbai,Android,,2024-01-06 17:50:00
U012200,2024/01/22,,android,false,2024-03-23 14:04:00
U032803,05-03-2024,Delhi,Android,,2024-04-10 01:51:00
U000278,2024-03-24,mumbai,android,true,2024-04-13 12:17:00
U037549,2024/01/07,Mumbai,iOS,true,2024-03-30 10:40:00
U038503,27-02-2024,Mumbai,Android,true,2024-01-09 17:04:00
U005330,2024-01-12,Mumbai,,,2024-04-03 23:47:00
U021258,2024-02-30,Delhi,android,false,2024-01-29 04:48:00
U008795,23-03-2024,Bangalore ,,true,2024-01-23 11:00:00
U047899,2024-02-02,mumbai,,,2024-02-27 13:12:00
U025898,2024/01/20,,,,2024-05-13 20:14:00
U002511,,Delhi,android,,2024-05-17 12:36:00
U012460,23-01-2024,Bangalore ,Android,true,2024-01-05 10:04:00
U042417,2024-01-13,Bangalore ,iOS,,2024-03-24 22:35:00
U022824,,delhi,android,false,2024-03-28 11:17:00
U040071,2024-02-25,Bangalore ,android,false,2024-04-19 02:32:00
U033379,04-02-2024,DELHI,,true,2024-03-19 12:52:00
U049395,,Delhi,iOS,false,2024-04-05 14:40:00
U029773,2024-02-30,Bangalore ,,false,2024-05-03 23:47:00
U047502,2024-01-28,DELHI,Android,,2024-04-08 01:03:00
